English	Namhsan	Khun Hawt	Htan Hsan	Pangkham	Man Loi	Meng Dan	Chu Dong Gua	Xiang Zhai Tang	Pong Nuea	Nyaung Gone	Noe Lae	Ban Paw	Cha Ye Qing	Guang Ka	Mang Bang	Nan Sang
bite	ɡaɁ	ɡaɁ	ɡaɁ	ɡak	kak	kiaʔ	ɡa?	kɔɁ	kauɁ	kauʔ	kauɁ	kauɁ	ɡak	ɡak	ɡɔk	kɔk
horn 	nuŋ kraɁ	nәŋ	nuk	nɨŋ	nuŋ	nuŋ	nuŋ	nɨŋ	nɨŋ	nɨk	nɨŋ	nɨŋ	nɨŋ	nɨŋ	nɨŋ	nɨŋ
tail	saɗaː	saɗaː	saɗaː	saɗaː	saɗɛː	kəɗɛː	sadaː	sədaː	sadɛa	sada	sada	sada	khaɗaː	sataː	sataː	sataː
bird	sim	sim	sim	sim	sim	sim	sim	siːm	masiːm	masim	masim	masim	siːm	siːm	siːm	siːm
fly 	pәr	bәr	ɓәr	min	bәr	phruː	phruː	bən	bən	bə̆n	bə̆n	bə̆n	ɓaj	pɨːh	pɨː	pɨː
egg	kadam ɓeɁ	kaɗam	kaɗam	ɡlaw	klaw khaj	ɡlɛːw	ɡraːw ʔiar	pəːn	pəan	pən ʔian	pən Ɂian	pən Ɂian	bəːn	bəːn	bəːn	bəːn
fish	kaː 	kaː	kaː	ɡaː	ɡɛː	kɛː	kaː	ɡaː	maɡɛa	maɡa	maɡa	maɡa	kaː	kaː	kaː	kaː
snake	haɲ	heɲ	heɲ	haɲ	han	hɔn	hɔɲ	haɲ	mahaɲ	han	mahaɲ	mahăɲ	han	han	han	han
louse 	siː	siː	sej	saj	saj	kəbran	saːj	masɛː	masɛː	masɛ	masɛ	masɛ	masaj	saj	saj	saiɁ
head	kiŋ	keɲ	kiɲ	ɡiɲ	ɡiŋ	kiŋ	ɡiŋ	ɡiɲ	ɡiɲ	ɡɨn	ɡiɲ	ɡɨɲ	ken	ken	kən	kən
hair	huɁkiŋ	houɁ keɲ	houɁ kiɲ	hɨk ɡiɲ	huk ɡiŋ	huʔ kiŋ	huʔ kiŋ	huːj	hɨk ɡiɲ	hɨk ɡɨn	hɨk ɡiɲ	hɨk ɡɨɲ	hɨk ken	hɨk ken	hɨkkən	hɨkkən
eye	ŋaːj	ŋaːj	ŋaːj	bleː ŋaːj	bleː ŋaːj	ŋaːj	ŋaːj	ŋaːj	ŋaːj	ŋaj	ŋaj	ŋaj	ŋaːj	ŋaːj	ŋaːj	ŋaːj
nose	kɔŋmuh	kɔŋmur̥	kɔŋmuh	ɡɔŋmuh	ɡɔŋmuh	ʔamujh	mujh	ɡuŋmuh	ɡuŋmuh	ɡumuh	ɡoŋmuh	ɡuŋmuh	kadoŋmuh	kaduŋ muh	kadɔŋ muh	kaduŋmuh
ear 	lajʨhɔːɁ	ralaŋ	lalaŋ	j̊ok	lɛːj̊ok	j̊ok	j̊o?	j̊auɁ	jaj̊auɁ	j̊ouʔ	Ɂaj̊ouʔ	Ɂaj̊ouɁ	ʨhok	ʨhok	laʨhok	ʨhok
mouth	moːɁ	mur̥	mur̥	muaɁ	muaɁ	mojɁ	mojɁ	mojɁ	moːc	moc	moc	mot	mojʔ	mojʔ	mojʔ	mojɁ
