ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
60	4_cloud	None	BanPaw	Ban Paw	ŋ ɁuɁ	ŋ ɁuɁ	ŋ + ʔ u ʔ		1489	21.311225	99.557550	
61	4_cloud	None	ChaYeQing	Cha Ye Qing	ŋɁuːɁ	ŋɁuːɁ	ŋ ʔ uː ʔ		1489	24.305717	98.463661	
62	4_cloud	None	GuangKa	Guang Ka	ɁoŋɁuːɁ	ɁoŋɁuːɁ	ʔ o ŋ ʔ uː ʔ	ruma1248	1489	24.065714	97.796281	
63	4_cloud	None	MangBang	Mang Bang	ŋɁuɁ	ŋɁuɁ	ŋ ʔ u ʔ	ruma1248	1489	24.416392	98.399078	
64	4_cloud	None	NanSang	Nan Sang	ŋɁuːɁ	ŋɁuːɁ	ŋ ʔ uː ʔ	ruma1248	1489	24.019728	97.819736	
65	5_rain	None	NamHsan	Namhsan	ʨuŋ	ʨuŋ	tɕ u ŋ		2108	22.965064	97.163239	
66	5_rain	None	KhunHawt	Khun Hawt	ʥoŋ	ʥoŋ	dʑ o ŋ		2108	22.965064	97.163239	
67	5_rain	None	HtanHsan	Htan Hsan	ʥuːŋ	ʥuːŋ	dʑ uː ŋ		2108	22.675133	97.289942	
68	5_rain	None	PangKham	Pangkham	ɡlaːj	ɡlaːj	g l aː j		2108	22.672097	97.161167	
69	5_rain	None	ManLoi	Man Loi	ɡlaːj	ɡlaːj	g l aː j		2108	22.636019	97.139264	
70	5_rain	None	MengDan	Meng Dan	ɡlaːj	ɡlaːj	g l aː j	khan1274	2108	24.296522	98.379886	
71	5_rain	None	ChuDongGua	Chu Dong Gua	klaj	klaj	k l a j		2108	24.330889	98.393125	
72	5_rain	None	XiangZhaiTang	Xiang Zhai Tang	ɡlaːj	ɡlaːj	g l aː j	ruma1248	2108	24.323819	98.556639	
73	5_rain	None	PongNuea	Pong Nuea	ɡlaːj	ɡlaːj	g l aː j		2108	20.321525	99.866817	
74	5_rain	None	NyaungGone	Nyaung Gone	ɡlaj	ɡlaj	g l a j		2108	20.635025	96.545772	
75	5_rain	None	NoeLae	Noe Lae	ɡlaj	ɡlaj	g l a j		2108	19.941803	99.044742	
76	5_rain	None	BanPaw	Ban Paw	ɡlaj	ɡlaj	g l a j		2108	21.311225	99.557550	
77	5_rain	None	ChaYeQing	Cha Ye Qing	ɡlaːj	ɡlaːj	g l aː j		2108	24.305717	98.463661	
78	5_rain	None	GuangKa	Guang Ka	klaːj	klaːj	k l aː j	ruma1248	2108	24.065714	97.796281	
79	5_rain	None	MangBang	Mang Bang	klaːj	klaːj	k l aː j	ruma1248	2108	24.416392	98.399078	
80	5_rain	None	NanSang	Nan Sang	klaːj	klaːj	k l aː j	ruma1248	2108	24.019728	97.819736	
81	6_wind	None	NamHsan	Namhsan	khuːr	khuːr	kʰ uː r		960	22.965064	97.163239	
82	6_wind	None	KhunHawt	Khun Hawt	khuːr	khuːr	kʰ uː r		960	22.965064	97.163239	
83	6_wind	None	HtanHsan	Htan Hsan	khuːr	khuːr	kʰ uː r		960	22.675133	97.289942	
84	6_wind	None	PangKham	Pangkham	khuːn	khuːn	kʰ uː n		960	22.672097	97.161167	
85	6_wind	None	ManLoi	Man Loi	khuː	khuː	kʰ uː		960	22.636019	97.139264	
86	6_wind	None	MengDan	Meng Dan	khuːr	khuːr	kʰ uː r	khan1274	960	24.296522	98.379886	
87	6_wind	None	ChuDongGua	Chu Dong Gua	khuːr	khuːr	kʰ uː r		960	24.330889	98.393125	
88	6_wind	None	XiangZhaiTang	Xiang Zhai Tang	khuːn	khuːn	kʰ uː n	ruma1248	960	24.323819	98.556639	
89	6_wind	None	PongNuea	Pong Nuea	khuːn	khuːn	kʰ uː n		960	20.321525	99.866817	
90	6_wind	None	NyaungGone	Nyaung Gone	khun	khun	kʰ u n		960	20.635025	96.545772	
91	6_wind	None	NoeLae	Noe Lae	khun	khun	kʰ u n		960	19.941803	99.044742	
92	6_wind	None	BanPaw	Ban Paw	khun	khun	kʰ u n		960	21.311225	99.557550	
93	6_wind	None	ChaYeQing	Cha Ye Qing	khuː	khuː	kʰ uː		960	24.305717	98.463661	
94	6_wind	None	GuangKa	Guang Ka	khuː	khuː	kʰ uː	ruma1248	960	24.065714	97.796281	
95	6_wind	None	MangBang	Mang Bang	khuː	khuː	kʰ uː	ruma1248	960	24.416392	98.399078	
96	6_wind	None	NanSang	Nan Sang	khuː	khuː	kʰ uː	ruma1248	960	24.019728	97.819736	
97	7_night	None	NamHsan	Namhsan	ram̥әɯ	ram̥әɯ	r a m̥ ə ɯ		1233	22.965064	97.163239	
98	7_night	None	KhunHawt	Khun Hawt	lapm̥әː	lapm̥әː	l a p m̥ əː		1233	22.965064	97.163239	
99	7_night	None	HtanHsan	Htan Hsan	rәnm̥әː	rәnm̥әː	r ə n m̥ əː		1233	22.675133	97.289942	
100	7_night	None	PangKham	Pangkham	khimm̥әɯ	khimm̥әɯ	kʰ i m m̥ ə ɯ		1233	22.672097	97.161167	
101	7_night	None	ManLoi	Man Loi	khiːm̥әɯ	khiːm̥әɯ	kʰ iː m̥ ə ɯ		1233	22.636019	97.139264	
102	7_night	None	MengDan	Meng Dan	khiːw m̥əɯ	khiːw m̥əɯ	kʰ iː w + m̥ ə ɯ	khan1274	1233	24.296522	98.379886	
